index,sentence,head,tail,relation,gold label
0,"In 18 grazed and 21 improved fallows , we estimated biomass and quantified @MATTER$ , @ENVIRONMENT$ cations , sand content , and soil infiltration capacity .",MATTER,ENVIRONMENT,0,0
1,"Comparative molecular analysis of chemolithoautotrophic bacterial diversity and community structure from coastal saline soils , Gujarat , India Background Soils harbour high diversity of obligate as well as facultative chemolithoautotrophic @ORGANISM$ that contribute significantly to @MATTER$ dynamics in soil .",ORGANISM,MATTER,1,1
2,Temporal trends indicated that overexploitation and @PHENOMENA$ have been the main @ORGANISM$ drivers of historical changes in biodiversity .,PHENOMENA,ORGANISM,0,1
3,"Commands : as.taxo ( ) , divc ( ) Estimated number of caterpillar OTUs ( Hill number 2 ) Phylogenetic biodiversity ( PD_boot ) , PD_boot Phylogenetic biodiversity ( PD_boot : bootstrapped PD of caterpillars ) dimensionless real @QUALITY$ Phylogenetic biodiversity bootstrapped PD of @ORGANISM$ Phylogenetic biodiversity ( MPD_boot ) , MPD_boot Phylogenetic biodiversity ( MPD_boot : bootstrapped MPD of caterpillars ) dimensionless real Phylogenetic biodiversity Phylogenetic biodiversity bootstrapped MPD of caterpillars Phylogenetic biodiversity ( MNTD_boot ) , MNTD_boot Phylogenetic biodiversity ( MNTD_boot : bootstrapped MNTD of caterpillars ) dimensionless real Phylogenetic biodiversity Phylogenetic biodiversity bootstrapped MNTD of caterpillars Phylogenetic biodiversity ( PD ) , PD Phylogenetic biodiversity ( PD : phylogenetic diversity of caterpillars ) dimensionless real Phylogenetic biodiversity Phylogenetic biodiversity phylogenetic diversity of caterpillars Phylogenetic biodiversity ( MPD ) , MPD Phylogenetic biodiversity ( MPD : mean phylogenetic diversity of caterpillars ) dimensionless real Phylogenetic biodiversity Phylogenetic biodiversity mean phylogenetic diversity of caterpillars Phylogenetic biodiversity ( MNTD ) , MNTD Phylogenetic biodiversity ( MNTD : mean nearest taxon distance of caterpillars ) dimensionless real Phylogenetic biodiversity Phylogenetic biodiversity mean nearest taxon distance of caterpillars Tree species identifier in the Main Experiment design ( tree richness ) , tree richness Tree species identifier in the Main Experiment design ( tree richness : Tree species richness ) dimensionless real Tree species identifier in the Main Experiment design Tree species identifier in the Main Experiment design Tree species richness Functional biodiversity ( func_div_rao ) , func_div_rao Functional biodiversity uses functional traits of organisms as a basis to quantifying biodiversity .",QUALITY,ORGANISM,0,1
4,"In improved fallows , the proportion above half-maximum was not associated with soil @MATTER$ or @ORGANISM$ diversity , while soil carbon predicted mean percentage excess better than diversity .",MATTER,ORGANISM,0,0
5,"-- - 6 digit metal tags starting with 3 were also used for woody debris items CSP metal tag number ( @ORGANISM$ , @ENVIRONMENT$ debris ) ( TagMBa original ) , dimensionless TagMBa original CSP tree individuals were marked mostly with metal tags but also additional tags were used .",ORGANISM,ENVIRONMENT,0,0
6,"The effects of the biomass-species @QUALITY$ interaction on complementarity varied among the individual processes , but the aggregated measures of complementarity over all @ENVIRONMENT$ processes were significantly higher at the highest community biomass level .",QUALITY,ENVIRONMENT,0,0
7,This study therefore points to the necessity of also considering soil feedback mechanisms in order to gain a comprehensive and holistic understanding of the impacts of current @PHENOMENA$ phenomena on the stability of essential @ENVIRONMENT$ functions .,PHENOMENA,ENVIRONMENT,1,1
8,"Species were removed in a subtractive fashion so that biomass was allowed to vary with each species removal , and key @ENVIRONMENT$ processes were measured at each stage of @PHENOMENA$ .",ENVIRONMENT,PHENOMENA,0,0
9,Relationship between Reproductive Allocation and Relative Abundance among 32 @ORGANISM$ of a Tibetan Alpine Meadow : Effects of Fertilization and @PHENOMENA$ Background Understanding the relationship between species traits and species abundance is an important goal in ecology and biodiversity science .,ORGANISM,PHENOMENA,0,0
10,"Height is for a standing tree , length for a @ORGANISM$ lying on the @ENVIRONMENT$ .",ORGANISM,ENVIRONMENT,1,0
11,"Growing human population densities , intensified land-use , invasive species and increasing habitat fragmentation threaten @ENVIRONMENT$ worldwide and @ENVIRONMENT$ are often the only refuge for endangered species .",ENVIRONMENT,ENVIRONMENT,0,0
12,"To disentangle how functional traits explain @PHENOMENA$ and underpin biodiversityÃ¢â‚¬â€œecosystem functioning relationships , we should elucidate how @QUALITY$ affect individual growth across species richness levels , because the role of functional traits on growth depends on the ecological context of the individual .",PHENOMENA,QUALITY,0,0
13,"Threats to marine biodiversity in the U.S. are the same as those for most of the world : overexploitation of living resources ; reduced water quality ; coastal development ; shipping ; invasive species ; rising temperature and concentrations of carbon dioxide in the surface @ENVIRONMENT$ , and other changes that may be consequences of @PHENOMENA$ , including shifting currents ; increased number and size of hypoxic or anoxic areas ; and increased number and duration of harmful algal blooms .",ENVIRONMENT,PHENOMENA,1,0
16,"Although no unique fungi or bacteria have been detected in neither suppressive nor conducive composts , relatively high @QUALITY$ of @ORGANISM$ and Zopfiella were found in compost COM-B and COM-A , respectively .",QUALITY,ORGANISM,0,1
17,"By showing a first link between plant diversity and stoichiometry in a multiyear experiment , our results indicate that losing @ORGANISM$ from @ENVIRONMENT$ will lead to less reliable chemical composition of forage for herbivorous consumers and belowground litter input .",ORGANISM,ENVIRONMENT,1,0
18,@QUALITY$ as in the reference list for @ORGANISM$ .,QUALITY,ORGANISM,0,1
19,( loss_o : average sandloss open @ENVIRONMENT$ g m-2 -- -- ) real Deriving @QUALITY$ from sand loss Kinetic energy is derived from sand loss out of splashcups .,QUALITY,ENVIRONMENT,0,1
20,Ways to quantify @PHENOMENA$ : rainfall amount open field ( collecting bottle ) mmmeasured by a rainfall collecting bottle ; @QUALITY$ open field ( vaisala ) mmmeasured by the vaisala sensor -- - average rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - peak rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - average of the five highest five minute intensities open field ( vaisala ) measured by the vaisala sensor -- - rainfall amount ( tipping-bucket ) mmmeasured by the tipping-bucket rain gauge -- - average rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge -- - peak rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge ( am_v : rainfall amount open field ( vaisala ) mm -- rainfall amount ( vaisala ) -- measured by the vaisala sensor ) dimensionless real Precipitation Precipitation measured at the climate station or locally within sites .,PHENOMENA,QUALITY,0,1
21,"Coral reefs support upwards of one third of all marine @ORGANISM$ of fish , so the loss of @ENVIRONMENT$ may have substantial consequences to local fish diversity .",ORGANISM,ENVIRONMENT,1,0
22,Conclusion Our results suggest that the abundance and richness of @ORGANISM$ in a habitat is limited by the duration of unfavorable @QUALITY$ .,ORGANISM,QUALITY,0,0
23,"Woody debris items @ENVIRONMENT$ debris items are @ORGANISM$ or parts of trees , such as fallen crowns , branches , etc .",ORGANISM,ENVIRONMENT,1,0
24,"Each disassembly of a food web resulted in a unique relationship between parasite richness and the richness of free-living species , because the @PHENOMENA$ trajectory of parasites was sensitive to the order of extinctions of @ORGANISM$ .",PHENOMENA,ORGANISM,1,0
25,"-- - 6 digit metal tags starting with 3 were also used for woody debris items CSP @MATTER$ tag number ( trees , woody debris ) ( TagAFCW original ) , dimensionless TagAFCW original CSP @ORGANISM$ individuals were marked mostly with metal tags but also additional tags were used .",MATTER,ORGANISM,0,0
26,"-- - 6 digit metal tags starting with 3 were also used for woody debris items @QUALITY$ at breast height ( DBH ) , centimeter DBH Diameter of a @ORGANISM$ , measured at 1.3 m height ( DBH : diameter at breast height .",QUALITY,ORGANISM,0,1
27,"Although increasing efforts are being made to restore tropical forests , little information is available regarding the time scales required for carbon and @ORGANISM$ biodiversity to recover to the values associated with undisturbed @ENVIRONMENT$ .",ORGANISM,ENVIRONMENT,1,0
