gold,text
NA,"We explored elemental stoichiometry in @ENVIRONMENT$ plant tissue ( ratios of carbon , nitrogen , phosphorus , and @MATTER$ ) and its relationship to plant diversity in a 5-year study in a large grassland biodiversity experiment ( Jena Experiment ) ."
NA,"C carbon C/N ratio CSP N @MATTER$ pH S SOC @ENVIRONMENT$ soil base soil depth SON Find the list of keywords here : lab_num CSP sample_num depth_lb pH_H2O pH_KCl N_t C_t S_t C_N List of headers of the data columns in this dataset Permission is granted to anybody to access , use and publish all open for public data freely ."
NA,"BEF research plot where the abundance of @ORGANISM$ x is estimated @QUALITY$ ( CSP09 ) , CSP09 Number of individuals determined for the respective category ."
NA,It can be hypothesized that E. andrei @PHENOMENA$ compost as a new @ENVIRONMENT$ acquired an evolutionary selection advantage resulting in a higher expression of antimicrobial proteins .
NA,"Ways to quantify @PHENOMENA$ : @QUALITY$ open field ( collecting bottle ) mmmeasured by a rainfall collecting bottle ; rainfall amount open field ( vaisala ) mmmeasured by the vaisala sensor -- - average rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - peak rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - average of the five highest five minute intensities open field ( vaisala ) measured by the vaisala sensor -- - rainfall amount ( tipping-bucket ) mmmeasured by the tipping-bucket rain gauge -- - average rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge -- - peak rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge rainfall amount open field ( collecting bottle ) mm -- rainfall amount ( collecting bottle ) -- measured by a rainfall collecting bottle Precipitation ( am_v ) , millimeter per hour am_v Precipitation measured at the climate station or locally within sites ."
NA,SUMMARY This data set shows point @LOCATION$ of Bird @ENVIRONMENT$ .
NA,"additional @ORGANISM$ aluminium @MATTER$ calcium carbon chemical leaf composition chrome cobalt copper date explanatory individual based values iron kalium LDMC lead leaf size leaf trait location magnesium Main Experiment manganese natrium nickel nitrogen phosphorus polyphenols sample identity shrub shrub individual shrub position SLA species stomata strontium sulfur tannin taxon tree individual tree position year zinc Find the list of keywords here : Samplecode Sample.Collector Species Year_Collected Exp_Site Exp_vicinity Exp_Plot Exp_Plot_Position TAG neighbour.tree_TAG shrub.TAG Leaf.fresh.weight Leaf.dry.weight LA SLA LDMC N C CN K Mg Ca Al Ca2 Fe K2 Mg2 Mn Na P S Zn Co Cu Pb Sr Cr Ni Cd214 Cd228 stomata.density average.length average.width Phenolics Tannin List of headers of the data columns in this dataset Prof. Helge Bruelheide , David Eichenberg , Wenzel KrÃƒÂ¶ber , Martin BÃƒÂ¶hnke , Christian Ristok Main Sites A and B of the experimantal plantations of BEF China 29Ã‚Â°08'-29Ã‚Â°11 29Ã‚Â°08'-29Ã‚Â°11 N 117Ã‚Â°90'-117Ã‚Â°93 117Ã‚Â°90'-117Ã‚Â°93 E 117.8998 118.1483 29.2852 29.10178 ######## ######## Tree and shrub species planted in the Main experiment of BEF China Tree and shrub species planted in the Main experiment of BEF China deichenberg hbruelheide wkroeber mboehnke Main Experiment : Leaf traits and chemicals from individual trees in the Main Experiment ( Site A & B ) Leaf traits and chemicals from tree species in the Main Experimental sites , including secondary compound ( total phenolic and tannin concentrations ) and information on stomata ."
NA,"-- - 6 digit metal tags starting with 3 were also used for woody debris items -- the reference file linking @MATTER$ tags to @ORGANISM$ individual tags is called `` Tree stem reference list for the Comparative Study Sites ( CSPs ) ) ( TagAFCW : Silver ID given by Anja , can be given to a woody debris item or to a standing dead tree or snagCSP metal tag number ( trees , woody debris ) ; Datagroup description : CSP metal tag number ( trees , woody debris ) ; Datagroup description : CSP tree individuals were marked mostly with metal tags but also additional tags were used ."
NA,Source : Last updated at : ######## License - Creative Commons Attribution 4 CC-BY download_json_1 id id integer # integer id name name string # string name parentlayerid parentLayerId integer # integer parentlayerid defaultvisibility defaultVisibility boolean # boolean defaultvisibility sublayerids subLayerIds string # string sublayerids minscale minScale boolean # boolean minscale maxscale maxScale boolean # boolean maxscale data/download_json_1.csv csv original/download-json-1.json original/download-json-1.json json application/json 50778 original/wms-getcapabilities-2.html original/wms-getcapabilities-2.html html text/html 338470 agricultural soil analysis arable land arable land groundwater chemical chemistry continental scale earth science egdi environment europe european soil analysis forensic chemistry gemas geochemical geochemical analysis geochemical mapping geology geoscientificinformation grazing land groundwater heavy metals ireland land lithosphere mapping metal micka pedosphere science @ENVIRONMENT$ soil nutrient toxic element trace element @MATTER$ geographic
NA,"The greatest consumptive @QUALITY$ sector use is evaporation from hydroelectric reservoirs , followed by irrigation @MATTER$ for biofuel feedstocks and water used for electricity generation from coal ."
NA,DESCRIPTION DWH NRDA Background Deposition of Bird Carcasses on Walkable Beaches and in @ENVIRONMENT$ SUMMARY Original Title : DWH NRDA Background @PHENOMENA$ of Bird Carcasses on Walkable Beaches and in Marshes This dataset contains the data collected during Deepwater Horizon Bird Study # 24 ( Background Carcass Deposition ) .
NA,"Given limitations in using @QUALITY$ to predict ecological performance of @ORGANISM$ , recent advances using tolerances of low resource availability as plant functional traits are revealing the often hidden roles these factors have in structuring communities and are becoming central to classifying plants ecologically ."
NA,"Ways to quantify precipitation : rainfall amount open field ( collecting bottle ) mmmeasured by a @PHENOMENA$ collecting bottle ; rainfall amount open @ENVIRONMENT$ ( vaisala ) mmmeasured by the vaisala sensor -- - average rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - peak rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - average of the five highest five minute intensities open field ( vaisala ) measured by the vaisala sensor -- - rainfall amount ( tipping-bucket ) mmmeasured by the tipping-bucket rain gauge -- - average rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge -- - peak rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge average rainfall intensity open field ( vaisala ) mm/h -- average rainfall intensity ( vaisala ) -- measured by the vaisala sensor Precipitation ( peak_v ) , millimeter per hour peak_v Precipitation measured at the climate station or locally within sites ."
NA,"@QUALITY$ ; Datagroup description : Scientific plant species name ; Source : Flora of @LOCATION$ ; Datagroup description : Scientific plant species name Date time information ( Year_Collected ) , Year_Collected Date time information , given as year or as date or as date time ."
NA,Climate and other @PHENOMENA$ phenomena affecting biodiversity require monitoring to track @ENVIRONMENT$ changes and guide policy and management actions .
NA,"additional @ORGANISM$ aluminium cadmium calcium carbon chemical leaf composition chrome cobalt copper date explanatory individual based values @MATTER$ kalium LDMC lead leaf size leaf trait location magnesium Main Experiment manganese natrium nickel nitrogen phosphorus polyphenols sample identity shrub shrub individual shrub position SLA species stomata strontium sulfur tannin taxon tree individual tree position year zinc Find the list of keywords here : Samplecode Sample.Collector Species Year_Collected Exp_Site Exp_vicinity Exp_Plot Exp_Plot_Position TAG neighbour.tree_TAG shrub.TAG Leaf.fresh.weight Leaf.dry.weight LA SLA LDMC N C CN K Mg Ca Al Ca2 Fe K2 Mg2 Mn Na P S Zn Co Cu Pb Sr Cr Ni Cd214 Cd228 stomata.density average.length average.width Phenolics Tannin List of headers of the data columns in this dataset Prof. Helge Bruelheide , David Eichenberg , Wenzel KrÃƒÂ¶ber , Martin BÃƒÂ¶hnke , Christian Ristok Main Sites A and B of the experimantal plantations of BEF China 29Ã‚Â°08'-29Ã‚Â°11 29Ã‚Â°08'-29Ã‚Â°11 N 117Ã‚Â°90'-117Ã‚Â°93 117Ã‚Â°90'-117Ã‚Â°93 E 117.8998 118.1483 29.2852 29.10178 ######## ######## Tree and shrub species planted in the Main experiment of BEF China Tree and shrub species planted in the Main experiment of BEF China deichenberg hbruelheide wkroeber mboehnke Main Experiment : Leaf traits and chemicals from individual trees in the Main Experiment ( Site A & B ) Leaf traits and chemicals from tree species in the Main Experimental sites , including secondary compound ( total phenolic and tannin concentrations ) and information on stomata ."
NA,"In 18 grazed and 21 improved fallows , we estimated biomass and quantified soil organic carbon , soil base cations , @QUALITY$ , and @ENVIRONMENT$ infiltration capacity ."
NA,The addition of compost combined with a liquid culture of phototrophic @ORGANISM$ ( PTB ) is experimentally proved to effectively decrease the TCE content in soil and @MATTER$ .
NA,Ways to quantify precipitation : @QUALITY$ open field ( collecting bottle ) mmmeasured by a rainfall collecting bottle ; rainfall amount open field ( vaisala ) mmmeasured by the vaisala sensor -- - average rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - peak rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - average of the five highest five minute intensities open @ENVIRONMENT$ ( vaisala ) measured by the vaisala sensor -- - rainfall amount ( tipping-bucket ) mmmeasured by the tipping-bucket rain gauge -- - average rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge -- - peak rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge ( peak_t : peak rainfall intensity ( tipping-bucket ) mm/h -- peak rainfall intensity ( tipping-bucket ) -- measured by the tipping-bucket rain gauge ) dimensionless real Precipitation Precipitation measured at the climate station or locally within sites .
NA,"For four ecosystem functions ( wood biomass , @QUALITY$ , @ENVIRONMENT$ cations , steady infiltration rates ) linked to the focal ecosystem services , we quantified ecosystem service multi-functionality as ( 1 ) the proportion of functions above half-maximum , and ( 2 ) mean percentage excess above mean function values , and assessed whether plant diversity or environmental favorability better predicted multi-functionality ."
have,"Overall shoot @QUALITY$ was decreased , root biomass increased in @ENVIRONMENT$ with more plant species ."
have,"CSP @QUALITY$ description II for @ENVIRONMENT$ /datasets/127 ASCII 1 column , BEF research plot name ( CSP ) , CSP Reasearch plots of the Biodiversity - Ecosystem functioning experiment ( BEF-China ) ."
have,"The effects of weather on fungal abundance and richness among 25 communities in the Intermountain West Background Because moisture and temperature influence the growth of fungi , characterizing weather conditions favorable for fungi may be used to predict the abundance and richness of fungi in @ENVIRONMENT$ with different @QUALITY$ ."
have,"We compared @ORGANISM$ @ENVIRONMENT$ using quantified flower-visitation networks in 36 sites ( each 1 km2 ) in three landscapes : urban , farmland and nature reserves ."
have,"By showing a first link between plant diversity and stoichiometry in a multiyear experiment , our results indicate that losing plant species from grassland ecosystems will lead to less reliable @QUALITY$ of @ORGANISM$ for herbivorous consumers and belowground litter input ."
