Head_Type,Tail_Type,Predicted_Relation,Relation_Present,text
MATTER,ENVIRONMENT,no relation,0,"In 18 grazed and 21 improved fallows , we estimated biomass and quantified @MATTER$ , @ENVIRONMENT$ cations , sand content , and soil infiltration capacity ."
ORGANISM,MATTER,INFLUENCE,1,"Comparative molecular analysis of chemolithoautotrophic bacterial diversity and community structure from coastal saline soils , Gujarat , India Background Soils harbour high diversity of obligate as well as facultative chemolithoautotrophic @ORGANISM$ that contribute significantly to @MATTER$ dynamics in soil ."
ENVIRONMENT,ORGANISM,no relation,0,"Causes , consequences , and perspectives in the variations of intestinal density of @ENVIRONMENT$ of @ORGANISM$ The intestinal microbiota is a complex environment that hosts 1013 to 1014 bacteria ."
PHENOMENA,ORGANISM,INFLUENCE,1,Temporal trends indicated that overexploitation and @PHENOMENA$ have been the main @ORGANISM$ drivers of historical changes in biodiversity .
QUALITY,ORGANISM,no relation,0,"Commands : as.taxo ( ) , divc ( ) Estimated number of caterpillar OTUs ( Hill number 2 ) Phylogenetic biodiversity ( PD_boot ) , PD_boot Phylogenetic biodiversity ( PD_boot : bootstrapped PD of caterpillars ) dimensionless real @QUALITY$ Phylogenetic biodiversity bootstrapped PD of @ORGANISM$ Phylogenetic biodiversity ( MPD_boot ) , MPD_boot Phylogenetic biodiversity ( MPD_boot : bootstrapped MPD of caterpillars ) dimensionless real Phylogenetic biodiversity Phylogenetic biodiversity bootstrapped MPD of caterpillars Phylogenetic biodiversity ( MNTD_boot ) , MNTD_boot Phylogenetic biodiversity ( MNTD_boot : bootstrapped MNTD of caterpillars ) dimensionless real Phylogenetic biodiversity Phylogenetic biodiversity bootstrapped MNTD of caterpillars Phylogenetic biodiversity ( PD ) , PD Phylogenetic biodiversity ( PD : phylogenetic diversity of caterpillars ) dimensionless real Phylogenetic biodiversity Phylogenetic biodiversity phylogenetic diversity of caterpillars Phylogenetic biodiversity ( MPD ) , MPD Phylogenetic biodiversity ( MPD : mean phylogenetic diversity of caterpillars ) dimensionless real Phylogenetic biodiversity Phylogenetic biodiversity mean phylogenetic diversity of caterpillars Phylogenetic biodiversity ( MNTD ) , MNTD Phylogenetic biodiversity ( MNTD : mean nearest taxon distance of caterpillars ) dimensionless real Phylogenetic biodiversity Phylogenetic biodiversity mean nearest taxon distance of caterpillars Tree species identifier in the Main Experiment design ( tree richness ) , tree richness Tree species identifier in the Main Experiment design ( tree richness : Tree species richness ) dimensionless real Tree species identifier in the Main Experiment design Tree species identifier in the Main Experiment design Tree species richness Functional biodiversity ( func_div_rao ) , func_div_rao Functional biodiversity uses functional traits of organisms as a basis to quantifying biodiversity ."
MATTER,ORGANISM,no relation,0,"In improved fallows , the proportion above half-maximum was not associated with soil @MATTER$ or @ORGANISM$ diversity , while soil carbon predicted mean percentage excess better than diversity ."
MATTER,ENVIRONMENT,no relation,0,"solutionH20 : soil #ERROR! 2.5:1 ) dimensionless real pH value In case of @MATTER$ : samples were air-dried , sieved < 2mm , solutionH20 from @ENVIRONMENT$ #ERROR! 2.5:1 -- in case of KCL : samples were air-dried , sieved < 2mm , solutionKCL : soil #ERROR! 2.5:1 ; pH ( KCl ) is the maximum potential acidity under the present soil conditions , pH ( H2O ) is the current acidity ; pH ( KCl ) is the maximum potential acidity under the present soil conditions , pH ( H2O ) is the current acidity pH value , mean from two values determined by H2O method ."
QUALITY,ENVIRONMENT,HAVE/OF,1,"depth ( lower boundary ) of the sample ; Datagroup description : Soil depth pH value ( pH_H2O ) , @QUALITY$ pH_H2O In case of H2O : samples were air-dried , sieved < 2mm , solutionH20 : soil #ERROR! 2.5:1 -- in case of KCL : samples were air-dried , sieved < 2mm , solutionKCL : @ENVIRONMENT$ #ERROR! 2.5:1 ; pH ( KCl ) is the maximum potential acidity under the present soil conditions , pH ( H2O ) is the current acidity ; pH ( KCl ) is the maximum potential acidity under the present soil conditions , pH ( H2O ) is the current acidity ( pH_H2O : pH value , mean from two values determined by H20 method ."
ORGANISM,ENVIRONMENT,no relation,0,"-- - 6 digit metal tags starting with 3 were also used for woody debris items CSP metal tag number ( @ORGANISM$ , @ENVIRONMENT$ debris ) ( TagMBa original ) , dimensionless TagMBa original CSP tree individuals were marked mostly with metal tags but also additional tags were used ."
QUALITY,ENVIRONMENT,no relation,0,"The effects of the biomass-species @QUALITY$ interaction on complementarity varied among the individual processes , but the aggregated measures of complementarity over all @ENVIRONMENT$ processes were significantly higher at the highest community biomass level ."
